page	entries	image	volume	fix	frequency	check	books	accuracy	centurydictiona06whit_djvu.csv	frequency	image	centurydictionar06whit_djvu.csv	frequency	image	centurydictionar06whituoft_djvu.csv	frequency	image	cu31924091890636_djvu.csv	frequency	image
4708	press	283	6		4				press	4	284	press	4	284	press	4	286	press	4	283
4709	press-mark	284	6		3				press-mark	3	285	press-mark	3	285	indicating	1	287	press-mark	3	284
4710	prest	285	6		4				prest	4	286	prest	4	286	prest	4	288	prest	4	285
4711	presume	286	6		3				presume	3	287	presume	3	287	presiune	1	289	presume	3	286
4712	pretend	287	6		4				pretend	4	288	pretend	4	288	pretend	4	290	pretend	4	287
4713	pretension	288	6		4				pretension	4	289	pretension	4	289	pretension	4	291	pretension	4	288
4714	pretematurality	289	6		2	weak			pretematurality	2	290	pretematurality	2	290	pretemattirality	1	292	preternaturality	1	289
4715	pretty	290	6		4				pretty	4	291	pretty	4	291	pretty	4	293	pretty	4	290
4716	prevalence	291	6		4				prevalence	4	292	prevalence	4	292	prevalence	4	294	prevalence	4	291
4717	preventative	292	6		4				preventative	4	293	preventative	4	293	preventative	4	295	preventative	4	292
4718	prey	293	6		4				prey	4	294	prey	4	294	prey	4	296	prey	4	293
4719	pricement	294	6		2	tie			pricement	2	295	pricement	2	295	prlcement	2	297	prlcement	2	294
4720	prickant	295	6		4				prickant	4	296	prickant	4	296	prickant	4	298	prickant	4	295
4721	prick-shaft	296	6		3				Prick-bpiirsijf	1	297	prick-shaft	3	297	prick-shaft	3	299	prick-shaft	3	296
4722	priest	297	6		4				priest	4	298	priest	4	298	priest	4	300	priest	4	297
4723	prigman	298	6		3				prigman	3	299	prigman	3	299	pridgeman	1	301	prigman	3	298
4724	primary	299	6		3				pnmary	1	300	primary	3	300	primary	3	302	primary	3	299
4725	prime	300	6		4				prime	4	301	prime	4	301	prime	4	303	prime	4	300
4726	primeval	301	6		4				primeval	4	302	primeval	4	302	primeval	4	304	primeval	4	301
4727	primitively	302	6		3				primitively	3	303	primitively	3	303	primitiToly	1	305	primitively	3	302
4728	primrose	303	6		2	weak			primrose	2	304	pmnrose	1	304	primrose	2	306	pninrose	1	303
4729	prince	304	6		3				prince	3	305	pnnce	1	305	prince	3	307	prince	3	304
4730	principal	305	6		4				principal	4	306	principal	4	306	principal	4	308	principal	4	305
4731	principle	306	6		4				principle	4	307	principle	4	307	principle	4	309	principle	4	306
4732	print	307	6		4				print	4	308	print	4	308	print	4	310	print	4	307
4733	printing	308	6		3				printing	3	309	printing	3	309	printing	3	311	than	1	308
4734	printing-wheel	309	6		4				printing-wheel	4	310	printing-wheel	4	310	printing-wheel	4	312	printing-wheel	4	309
4735	prioress	310	6		3				prioress	3	311	prioress	3	311	r	1	313	prioress	3	310
4736	prismatic	311	6		2	tie			prismatic	2	312	prismatic	2	312	Prismatic	2	314	Prismatic	2	311
4737	Pritchaxdia	312	6		1	tie			Pritcliardia	1	313	Pritchaxdia	1	313	Fritchardia	1	315	Pritchardia	1	312
4738	private	313	6		4				private	4	314	private	4	314	private	4	316	private	4	313
4739	privilege	314	6		4				privilege	4	315	privilege	4	315	privilege	4	317	privilege	4	314
4740	prize	315	6		4				prize	4	316	prize	4	316	prize	4	318	prize	4	315
4741	proatlas	316	6		4				proatlas	4	317	proatlas	4	317	proatlas	4	319	proatlas	4	316
4742	probably	317	6		4				probably	4	318	probably	4	318	probably	4	320	probably	4	317
4743	problem	318	6		4				problem	4	319	problem	4	319	problem	4	321	problem	4	318
4744	procacious	319	6		4				procacious	4	320	procacious	4	320	procacious	4	322	procacious	4	319
4745	proceleusmatic	320	6		3				proceleusmatic	3	321	proceleusmatic	3	321	procelensmatic	1	323	proceleusmatic	3	320
4746	process	321	6		4				process	4	322	process	4	322	process	4	324	process	4	321
4747	procession	322	6		4				procession	4	323	procession	4	323	procession	4	325	procession	4	322
4748	prochronism	323	6		4				prochronism	4	324	prochronism	4	324	prochronism	4	326	prochronism	4	323
4749	proconsul	324	6		3				proconsul	3	325	proconsul	3	325	proconsnl	1	327	proconsul	3	324
4750	proctor	325	6		4				proctor	4	326	proctor	4	326	proctor	4	328	proctor	4	325
4751	procure	326	6		4				procure	4	327	procure	4	327	procure	4	329	procure	4	326
4752	prodigalize	327	6		4				prodigalize	4	328	prodigalize	4	328	prodigalize	4	330	prodigalize	4	327
4753	produce	328	6		4				produce	4	329	produce	4	329	produce	4	331	produce	4	328
4754	proem	329	6		4				proem	4	330	proem	4	330	proem	4	332	proem	4	329
4755	profess	330	6		4				profess	4	331	profess	4	331	profess	4	333	profess	4	330
4756	professor	331	6		4				professor	4	332	professor	4	332	professor	4	334	professor	4	331
4757	profiling-machine	332	6		2	weak			profiling-machine	2	333	profiling-machlne	1	333	profiling-machine	2	335	profiling-macliine	1	332
4758	profound	333	6		4				profound	4	334	profound	4	334	profound	4	336	profound	4	333
4759	progenitorial	334	6		2	weak			Some	1	335	progenitorial	2	335	progenltorial	1	337	progenitorial	2	334
4760	program	335	6		4				program	4	336	program	4	336	program	4	338	program	4	335
4761	progressist	336	6		3				progressist	3	337	progressist	3	337	piogressist	1	339	progressist	3	336
4762	project	337	6		4				project	4	338	project	4	338	project	4	340	project	4	337
4763	projection	338	6		4				projection	4	339	projection	4	339	projection	4	341	projection	4	338
4764	projector	339	6		4				projector	4	340	projector	4	340	projector	4	342	projector	4	339
4765	proletariate	340	6		4				proletariate	4	341	proletariate	4	341	proletariate	4	343	proletariate	4	340
4766	prolocutrix	341	6		4				prolocutrix	4	342	prolocutrix	4	342	prolocutrix	4	344	prolocutrix	4	341
4767	Promeropinae	342	6		3				Promeropinse	1	343	Promeropinae	3	343	Promeropinae	3	345	Promeropinae	3	342
4768	promise	343	6		4				promise	4	344	promise	4	344	promise	4	346	promise	4	343
4769	promorphologically	344	6		2	weak			promorphologically	2	345	promorpliologlcally	1	345	promorphologically	2	347	promorphologlcally	1	344
4770	promptness	345	6		4				promptness	4	346	promptness	4	346	promptness	4	348	promptness	4	345
4771	prongbuck	346	6		4				prongbuck	4	347	prongbuck	4	347	prongbuck	4	349	prongbuck	4	346
4772	pronunciation	347	6		4				pronunciation	4	348	pronunciation	4	348	pronunciation	4	350	pronunciation	4	347
4773	proof	348	6		4				proof	4	349	proof	4	349	proof	4	351	proof	4	348
4774	proof-staff	349	6		3				proof-staff	3	350	cing	1	350	proof-staff	3	352	proof-staff	3	349
4775	propagate	350	6		2	weak			propagate	2	351	propagator	1	351	p	1	353	propagate	2	350
4776	propeller-well	351	6		4				propeller-well	4	352	propeller-well	4	352	propeller-well	4	354	propeller-well	4	351
4777	properistoma	352	6		4				properistoma	4	353	properistoma	4	353	properistoma	4	355	properistoma	4	352
4778	prophesied	353	6		2	tie			prophesied	2	354	prophesied	2	354	prophesy	2	356	prophesy	2	353
4779	prophyllum	354	6		4				prophyllum	4	355	prophyllum	4	355	prophyllum	4	357	prophyllum	4	354
4780	propitiousness	355	6		4				propitiousness	4	356	propitiousness	4	356	propitiousness	4	358	propitiousness	4	355
4781	proportionable	356	6		4				proportionable	4	357	proportionable	4	357	proportionable	4	359	proportionable	4	356
4782	proposition	357	6		4				proposition	4	358	proposition	4	358	proposition	4	360	proposition	4	357
4783	proprsescutal	358	6		2	weak			proprsescutal	2	359	propraescutal	1	359	proprtescntal	1	361	proprsescutal	2	358
4784	propugner	359	6		4				propugner	4	360	propugner	4	360	propugner	4	362	propugner	4	359
4785	prorogue	360	6		4				prorogue	4	361	prorogue	4	361	prorogue	4	363	prorogue	4	360
4786	prose	361	6		4				prose	4	362	prose	4	362	prose	4	364	prose	4	361
4787	proselytist	362	6		4				proselytist	4	363	proselytist	4	363	proselytist	4	365	proselytist	4	362
4788	prosit	363	6		4				prosit	4	364	prosit	4	364	prosit	4	366	prosit	4	363
4789	prosopopeia	364	6		4				prosopopeia	4	365	prosopopeia	4	365	prosopopeia	4	367	prosopopeia	4	364
4790	prosper	365	6		4				prosper	4	366	prosper	4	366	prosper	4	368	prosper	4	365
4791	prostitute	366	6		3				prostitute	3	367	I	1	367	prostitute	3	369	prostitute	3	366
4792	Protamoeba	367	6		3				Protamceba	1	368	Protamoeba	3	368	Protamoeba	3	370	Protamoeba	3	367
4793	protection	368	6		4				protection	4	369	protection	4	369	protection	4	371	protection	4	368
4794	Proteina	369	6		3				See	1	370	Proteina	3	370	Proteina	3	372	Proteina	3	369
4795	protest	370	6		3				protest	3	371	any	1	371	protest	3	373	protest	3	370
4796	Proteus	371	6		3				Proteus	3	372	Proteus	3	372	Protens	1	374	Proteus	3	371
4797	Protista	372	6		4				Protista	4	373	Protista	4	373	Protista	4	375	Protista	4	372
4798	protogastric	373	6		2	tie			protogastrlc	2	374	protogastric	2	374	protogastric	2	376	protogastrlc	2	373
4799	Frotonopsids	374	6		2	weak			I	1	375	Protonopsidse	1	375	Frotonopsids	2	377	Frotonopsids	2	374
4800	protosiphon	375	6		3				protoslphon	1	376	protosiphon	3	376	protosiphon	3	378	protosiphon	3	375
4801	Protozoa	376	6		4				Protozoa	4	377	Protozoa	4	377	Protozoa	4	379	Protozoa	4	376
4802	prott-goose	377	6		3				prott-goose	3	378	prott-goose	3	378	prott-Roose	1	380	prott-goose	3	377
4803	provand	378	6		3				provand	3	379	provand	3	379	provand	3	381	provajid	1	378
4804	proventriculus	379	6		2	weak			proventriculus	2	380	To	1	380	proventricnlns	1	382	proventriculus	2	379
4805	providence	380	6		4				providence	4	381	providence	4	381	providence	4	383	providence	4	380
4806	proving	381	6		2	weak			proving	2	382	provmg	1	382	proving	2	384	proTing	1	381
4807	provocative	382	6		4				provocative	4	383	provocative	4	383	provocative	4	385	provocative	4	382
4808	prowlery	383	6		3				Ihc	1	384	prowlery	3	384	prowlery	3	386	prowlery	3	383
4809	prudence	384	6		3				prudence	3	385	prudence	3	385	prndence	1	387	prudence	3	384
4810	accompanying	385	6		1	tie			pninelet	1	386	accompanying	1	386	pnmelet	1	388	prunelet	1	385
4811	pruritus	386	6		2	weak			pruritus	2	387	pruritus	2	387	pmritiis	1	389	pmritns	1	386
4812	psalmist	387	6		4				psalmist	4	388	psalmist	4	388	psalmist	4	390	psalmist	4	387
4813	Psammophis	388	6		3				Psammophis	3	389	Fsammophis	1	389	Psammophis	3	391	Psammophis	3	388
4814	pseudepigrapha	389	6		3				pseudepigrapha	3	390	pseudepigrapha	3	390	psendepigrapha	1	392	pseudepigrapha	3	389
4815	Pseudochromidoidei	390	6		3				Pseudochromidoidei	3	391	Pseudochromidoidei	3	391	Pseudochromidoidei	3	393	Fseudochromidoidei	1	390
4816	pseudogyrate	391	6		3				pseudogyrate	3	392	pseudogyrate	3	392	pseadogyrate	1	394	pseudogyrate	3	391
4817	Pseudoniscus	392	6		2	tie			Pseudoniscus	2	393	Pseudoniscus	2	393	Pseudoniscns	2	395	Pseudoniscns	2	392
4818	pseudoprostyle	393	6		3				pseudoprostyle	3	394	pseudoprostyle	3	394	Bos-	1	396	pseudoprostyle	3	393
4819	pseudotrimerous	394	6		3				pseudotrimerous	3	395	pseudotrimerous	3	395	psendotrimeroos	1	397	pseudotrimerous	3	394
4820	Fsilopades	395	6		1	tie			Psilopxdes	1	396	Fsilopades	1	396	Psilopeedes	1	398	Fsilopsdes	1	395
4821	psoric	396	6		3				psoric	3	397	psonc	1	397	psoric	3	399	psoric	3	396
4822	An	397	6		2	weak			psychol	1	398	Au	1	398	An	2	400	An	2	397
4823	psychoscope	398	6		4				psychoscope	4	399	psychoscope	4	399	psychoscope	4	401	psychoscope	4	398
4824	ptarmigan	399	6		4				ptarmigan	4	400	ptarmigan	4	400	ptarmigan	4	402	ptarmigan	4	399
4825	Pterocynes	400	6		4				Pterocynes	4	401	Pterocynes	4	401	Pterocynes	4	403	Pterocynes	4	400
4826	Pteropoda	401	6		3				I'liriiil	1	402	Pteropoda	3	402	Pteropoda	3	404	Pteropoda	3	401
4827	pterygoda	402	6		4				pterygoda	4	403	pterygoda	4	403	pterygoda	4	405	pterygoda	4	402
4828	Ptilocercus	403	6		2	weak			Ptilocercufl	1	404	Ptilocercus	2	404	Ptilocercns	1	406	Ptilocercus	2	403
4829	Ptyas	404	6		3				Ptyas	3	405	about	1	405	Ptyas	3	407	Ptyas	3	404
4830	public	405	6		4				public	4	406	public	4	406	public	4	408	public	4	405
4831	public-spiritedness	406	6		3				public-spiritedness	3	407	public-spiritedness	3	407	public-spiritedness	3	409	publlc-spiritedness	1	406
4832	pucker	407	6		1	tie			urimiKl	1	408	pucker	1	408	The	1	410	packer	1	407
4833	puddle	408	6		3				puddle	3	409	puddle	3	409	pnddle	1	411	puddle	3	408
4834	puerperal	409	6		2	weak			meiliately	1	410	pnerperal	1	410	puerperal	2	412	puerperal	2	409
4835	puffin	410	6		4				puffin	4	411	puffin	4	411	puffin	4	413	puffin	4	410
4836	pug-mill	411	6		3				pog-mlll	1	412	pug-mill	3	412	pug-mill	3	414	pug-mill	3	411
4837	Pulex	412	6		3				Pulex	3	413	Pulex	3	413	Pnlex	1	415	Pulex	3	412
4838	pullaile	413	6		3				pullaile	3	414	pulley	1	414	pullaile	3	416	pullaile	3	413
4839	pulley-sheave	414	6		4				pulley-sheave	4	415	pulley-sheave	4	415	pulley-sheave	4	417	pulley-sheave	4	414
4840	Pulmonata	415	6		2	tie			Pulmonata	2	416	Pulmonata	2	416	Fnlmonata	2	418	Fnlmonata	2	415
4841	pulpit	416	6		4				pulpit	4	417	pulpit	4	417	pulpit	4	419	pulpit	4	416
4842	pulse	417	6		4				pulse	4	418	pulse	4	418	pulse	4	420	pulse	4	417
4843	pulverization	418	6		4				pulverization	4	419	pulverization	4	419	pulverization	4	421	pulverization	4	418
4844	pump	419	6		3				Ill	1	420	pump	3	420	pump	3	422	pump	3	419
4845	pump-kettle	420	6		3				pump-kettle	3	421	pump-kettle	3	421	pnmp-kettle	1	423	pump-kettle	3	420
4846	punch	421	6		2	tie			punch	2	422	punch	2	422	puncb	2	424	puncb	2	421
4847	punctation	422	6		3				punctation	3	423	punctation	3	423	pnnctation	1	425	punctation	3	422
4848	punctum	423	6		3				punctnm	1	424	punctum	3	424	punctum	3	426	punctum	3	423
4849	He	424	6		1	tie			punisher	1	425	He	1	425	pnnlslier	1	427	ptmlsber	1	424
4850	punto	425	6		3				pimto	1	426	punto	3	426	punto	3	428	punto	3	425
4851	pupilarity	426	6		3				pupilarity	3	427	pupilarity	3	427	pnpllarlty	1	429	pupilarity	3	426
4852	puppy-snatch	427	6		4				puppy-snatch	4	428	puppy-snatch	4	428	puppy-snatch	4	430	puppy-snatch	4	427
4853	purchaser	428	6		2	weak			purchaser	2	429	purchaser	2	429	pnrchaser	1	431	purchaBer	1	428
4854	pnrfle	429	6		1	tie			pnrfie	1	430	pnrfle	1	430	purfle	1	432	piirfle	1	429
4855	purge	430	6		3				purge	3	431	puige	1	431	purge	3	433	purge	3	430
4856	purity	431	6		3				purity	3	432	purity	3	432	pTirlty	1	434	purity	3	431
4857	purlong	432	6		3				purlong	3	433	purlong	3	433	purpose	1	435	purlong	3	432
4858	purpose	433	6		4				purpose	4	434	purpose	4	434	purpose	4	436	purpose	4	433
4859	purpura	434	6		3				purpura	3	435	purpura	3	435	purptira	1	437	purpura	3	434
4860	purse-leech	435	6		2	weak			purse-leech	2	436	purse-leech	2	436	pnrse-leecli	1	438	purse-leecli	1	435
4861	pursue	436	6		2	weak			Paris	1	437	pursue	2	437	pnrsne	1	439	pursue	2	436
4862	purveyance	437	6		3				purveyance	3	438	with	1	438	purveyance	3	440	purveyance	3	437
4863	pusher	438	6		3				pusher	3	439	pusher	3	439	pusher	3	441	nee	1	438
4864	put	439	6		3				witll	1	440	put	3	440	put	3	442	put	3	439
4865	put	440	6		3				put	3	441	put	3	441	put	3	443	pat	1	440
4866	put	441	6		3				pnt	1	442	put	3	442	put	3	444	put	3	441
4867	putidness	442	6		3				putidness	3	443	putidness	3	443	putldnesa	1	445	putidness	3	442
4868	putter	443	6		3				putter	3	444	putter	3	444	putter	3	446	patter	1	443
4869	puzzle	444	6		3				puzzle	3	445	puzzle	3	445	irazzle	1	447	puzzle	3	444
4870	pycnogonold	445	6		2	weak			the	1	446	pycnogonold	2	446	pycnogonold	2	448	pycnogonoid	1	445
4871	pygmy	446	6		3				pygmy	3	447	pygmy	3	447	i	1	449	pygmy	3	446
4872	pyloridean	447	6		4				pyloridean	4	448	pyloridean	4	448	pyloridean	4	450	pyloridean	4	447
4873	pyramid	448	6		3				pyramid	3	449	pyramid	3	449	I	1	451	pyramid	3	448
4874	pyrenaemata	449	6		1	tie			Pyrenaemata	1	450	pyrenaemata	1	450	Fyrensemata	1	452	Pyrensemata	1	449
4875	pyritohedral	450	6		2	weak			pyritohedral	2	451	Pyrilohcil	1	451	pyritohedral	2	453	See	1	450
4876	pyrolatry	451	6		3				pyrolatry	3	452	pjnrolatry	1	452	pyrolatry	3	454	pyrolatry	3	451
4877	pyrophosphoric	452	6		4				pyrophosphoric	4	453	pyrophosphoric	4	453	pyrophosphoric	4	455	pyrophosphoric	4	452
4878	pyrrhichius	453	6		2	weak			pyrrliichius	1	454	pyrrhichius	2	454	pyrrhichius	2	456	PSrrrliichius	1	453
4879	Pythagoric	454	6		1	tie			fythagoric	1	455	Pythagoric	1	455	Pjrthagoric	1	457	Fythagorlc	1	454
4880	Pyx	455	6		2	weak			r	1	456	Pyx	2	456	Pyx	2	458	pyx	1	455
4881	The	456	6		3				Tlie	1	457	The	3	457	The	3	459	The	3	456
4882	quack	457	6		3				quack	3	458	qnack	1	458	quack	3	460	quack	3	457
4883	quadrans	458	6		2	weak			quadrans	2	459	quadrans	2	459	qnadrans	1	461	quadrass	1	458
4884	quadratic	459	6		4				quadratic	4	460	quadratic	4	460	quadratic	4	462	quadratic	4	459
4885	Quadricinium	460	6		2	weak			Quadricinium	2	461	Quadricinium	2	461	qnadricininm	1	463	quadricinium	1	460
4886	quadrille	461	6		4				quadrille	4	462	quadrille	4	462	quadrille	4	464	quadrille	4	461
4887	Quadrisulcata	462	6		3				Quadrisulcata	3	463	Quadrisulcata	3	463	quadruplicity	1	465	Quadrisulcata	3	462
4888	quadruply	463	6		3				quadruply	3	464	quadruply	3	464	quadniply	1	466	quadruply	3	463
4889	quail	464	6		4				quail	4	465	quail	4	465	quail	4	467	quail	4	464
4890	quaker	465	6		3				quaker	3	466	Quaker	1	466	quaker	3	468	quaker	3	465
4891	qualify	466	6		2	weak			qualify	2	467	qualify	2	467	Qualify	1	469	ciualify	1	466
4892	quality	467	6		4				quality	4	468	quality	4	468	quality	4	470	quality	4	467
4893	quantity	468	6		2	weak			CLuantity	1	469	quantity	2	469	anantity	1	471	quantity	2	468
4894	quar	469	6		1	tie			qoar	1	470	quar	1	470	qnar	1	472	quax	1	469
4895	quarrel	470	6		3				quarrel	3	471	quarrel	3	471	quarrel	3	473	Quarrels	1	470
4896	quarry-hawk	471	6		2	weak			quarry-hawk	2	472	quarry-hawk	2	472	qnarry-liawk	1	474	quarry-Iiawk	1	471
4897	quarter	472	6		3				quarter	3	473	quarter	3	473	Quarter	1	475	quarter	3	472
4898	quartered	473	6		2	weak			quartered	2	474	A	1	474	-I	1	476	quartered	2	473
4899	quarter-pieces	474	6		3				quarter-pieces	3	475	quarter-pieces	3	475	Quarter-pleces	1	477	quarter-pieces	3	474
4900	quartz	475	6		3				quartz	3	476	quartz	3	476	Quaxtz	1	478	quartz	3	475
4901	Quassia	476	6		4				Quassia	4	477	Quassia	4	477	Quassia	4	479	Quassia	4	476
4902	quatrefoil	477	6		1	tie			quatrefoll	1	478	quatrefoil	1	478	cinatrefoil	1	480	CLuatrefoil	1	477
4903	queasiness	478	6		2	weak			queasiness	2	479	queasiness	2	479	qneasiness	1	481	queaslness	1	478
4904	queenfish	479	6		2	weak			queenfish	2	480	queenfish	2	480	queenfisb	1	482	qLueenflsb	1	479
4905	quell	480	6		2	weak			quell	2	481	I	1	481	anell	1	483	quell	2	480
4906	quercitannic	481	6		2	weak			quercitannic	2	482	quercitaimic	1	482	quercitannic	2	484	oLuercltannic	1	481
4907	querulous	482	6		3				querulous	3	483	querulous	3	483	ready	1	485	querulous	3	482
4908	question	483	6		3				qnestion	1	484	question	3	484	question	3	486	question	3	483
4909	questus	484	6		4				questus	4	485	questus	4	485	questus	4	487	questus	4	484
4910	quick-answered	485	6		2	tie			quick-answerefl	2	486	quick-answered	2	486	quick-answerefl	2	488	quick-answered	2	485
4911	Quicunque	486	6		2	weak			Quicunque	2	487	Quicunque	2	487	Qaicunqne	1	489	QuicunoLue	1	486
4912	quiet	487	6		2	weak			quiet	2	488	quiet	2	488	qnlet	1	490	ciulet	1	487
4913	quill	488	6		2	weak			quill	2	489	quill	2	489	qnUl	1	491	QUUl	1	488
4914	quilting	489	6		2	weak			quilting	2	490	quilting	2	490	qnlltlng	1	492	CLTdlting	1	489
4915	quindecima	490	6		1	tie			cLuindecima	1	491	quindecima	1	491	QTilndecima	1	493	auindecima	1	490
4916	qninqnesyllable	491	6		1	tie			QnlnQuesyllable	1	492	qninqnesyllable	1	492	aninauesyllable	1	494	qninanesyllable	1	491
4917	quintile	492	6		3				quintile	3	493	quintile	3	493	qtdntile	1	495	quintile	3	492
4918	quirister	493	6		3				quirister	3	494	quirister	3	494	duirister	1	496	quirister	3	493
4919	quit	494	6		3				quit	3	495	I	1	495	quit	3	497	quit	3	494
4920	quitter	495	6		4				quitter	4	496	quitter	4	496	quitter	4	498	quitter	4	495
4921	I	496	6		1	tie			quoddle	1	497	I	1	497	Quoddle	1	499	auoddle	1	496
4922	quotability	497	6		4				quotability	4	498	quotability	4	498	quotability	4	500	quotability	4	497
4923	The	498	6		2	weak			Tlieeigliteenthletterand	1	499	The	2	499	Theeighteenthletterand	1	501	The	2	498
4924	rabbet-plane	499	6		4				rabbet-plane	4	500	rabbet-plane	4	500	rabbet-plane	4	502	rabbet-plane	4	499
4925	rabble	500	6		4				rabble	4	501	rabble	4	501	rabble	4	503	rabble	4	500
4926	raccourcy	501	6		2	weak			raccourcy	2	502	raccourcy	2	502	raceoorcy	1	504	racconrcy	1	501
4927	racemation	502	6		4				racemation	4	503	racemation	4	503	racemation	4	505	racemation	4	502
4928	Raciborskia	503	6		1	tie			Raciborskla	1	504	Raciborskia	1	504	Baclborskia	1	506	Baciborskia	1	503
4929	rack	504	6		4				rack	4	505	rack	4	505	rack	4	507	rack	4	504
4930	racket	505	6		3				racket	3	506	racJbet	1	506	racket	3	508	racket	3	505
4931	racy	506	6		4				racy	4	507	racy	4	507	racy	4	509	racy	4	506
4932	radiance	507	6		3				radiance	3	508	Eadiata	1	508	radiance	3	510	radiance	3	507
4933	radiation	508	6		4				radiation	4	509	radiation	4	509	radiation	4	511	radiation	4	508
4934	radicarian	509	6		2	weak			See	1	510	radicarian	2	510	radicarian	2	512	radicaxian	1	509
4935	Crookes's	510	6		2	weak			Crookes's	2	511	Crookes's	2	511	Crrxikes's	1	513	Crookesfs	1	510
4936	radix	511	6		3				radix	3	512	radix	3	512	radix	3	514	median	1	511
4937	raft	512	6		4				raft	4	513	raft	4	513	raft	4	515	raft	4	512
4938	rag	513	6		3				ng	1	514	rag	3	514	rag	3	516	rag	3	513
4939	ragged	514	6		4				ragged	4	515	ragged	4	515	ragged	4	517	ragged	4	514
4940	A	515	6		3				raguly	1	516	A	3	516	A	3	518	A	3	515
4941	rail	516	6		2	weak			rail	2	517	rail	2	517	raU	1	519	Biraihtei	1	516
4942	railroader	517	6		4				railroader	4	518	railroader	4	518	railroader	4	520	railroader	4	517
4943	rain	518	6		2	weak			ram	1	519	rain	2	519	nln	1	521	rain	2	518
4944	rainy	519	6		3				rainy	3	520	rainy	3	520	rainy	3	522	ramy	1	519
4945	raise	520	6		4				raise	4	521	raise	4	521	raise	4	523	raise	4	520
4946	rake	521	6		4				rake	4	522	rake	4	522	rake	4	524	rake	4	521
4947	rakehelly	522	6		4				rakehelly	4	523	rakehelly	4	523	rakehelly	4	525	rakehelly	4	522
4948	rally	523	6		3				veil	1	524	rally	3	524	rally	3	526	rally	3	523
4949	ramble	524	6		4				ramble	4	525	ramble	4	525	ramble	4	527	ramble	4	524
4950	Bamilie	525	6		2	weak			Ull'	1	526	Eamilie	1	526	Bamilie	2	528	Bamilie	2	525
4951	rampacious	526	6		2	tie			rampacious	2	527	rampacious	2	527	rampacions	2	529	rampacions	2	526
4952	rampler	527	6		3				ram	1	528	rampler	3	528	rampler	3	530	rampler	3	527
4953	Necdie-bug	528	6		1	tie			Needle-bug	1	529	Necdie-bug	1	529	Needle-buK	1	531	Banatra	1	528
4954	randan	529	6		4				randan	4	530	randan	4	530	randan	4	532	randan	4	529
4955	range	530	6		3				range	3	531	range	3	531	I	1	533	range	3	530
4956	rangersiip	531	6		1	tie			tii-ulur	1	532	rangersiip	1	532	rangerslilp	1	534	rangersMp	1	531
4957	rank	532	6		3				rank	3	533	rank	3	533	I	1	535	rank	3	532
4958	ranlmess	533	6		2	weak			rantcness	1	534	ranlmess	2	534	ranlmess	2	536	rankness	1	533
4959	rant	534	6		4				rant	4	535	rant	4	535	rant	4	537	rant	4	534
4960	rap	535	6		4				rap	4	536	rap	4	536	rap	4	538	rap	4	535
4961	rape	536	6		4				rape	4	537	rape	4	537	rape	4	539	rape	4	536
4962	raphigraph	537	6		2	weak			liipill	1	538	raphigraph	2	538	especially	1	540	raphigraph	2	537
4963	rapprochement	538	6		4				rapprochement	4	539	rapprochement	4	539	rapprochement	4	541	rapprochement	4	538
4964	rare	539	6		4				rare	4	540	rare	4	540	rare	4	542	rare	4	539
4965	rascal	540	6		4				rascal	4	541	rascal	4	541	rascal	4	543	rascal	4	540
4966	rash	541	6		3				rash	3	542	rash	3	542	rash	3	544	rasb	1	541
4967	Raspberry-borer	542	6		3				Raspberry-borer	3	543	Raspberry-borer	3	543	raspberry-borer	1	545	Raspberry-borer	3	542
4968	rat	543	6		4				rat	4	544	rat	4	544	rat	4	546	rat	4	543
4969	rate	544	6		4				rate	4	545	rate	4	545	rate	4	547	rate	4	544
4970	rath	545	6		3				rath	3	546	rath	3	546	rath	3	548	ratb	1	545
4971	ratio	546	6		4				ratio	4	547	ratio	4	547	ratio	4	549	ratio	4	546
4972	rational	547	6		4				rational	4	548	rational	4	548	rational	4	550	rational	4	547
4973	ratline	548	6		4				ratline	4	549	ratline	4	549	ratline	4	551	ratline	4	548
4974	rattle	549	6		4				rattle	4	550	rattle	4	550	rattle	4	552	rattle	4	549
4975	rattlesnake-grass	550	6		4				rattlesnake-grass	4	551	rattlesnake-grass	4	551	rattlesnake-grass	4	553	rattlesnake-grass	4	550
4976	rave	551	6		4				rave	4	552	rave	4	552	rave	4	554	rave	4	551
4977	Ravenala	552	6		2	weak			As	1	553	Ravenala	2	553	Bavenala	1	555	Ravenala	2	552
4978	raw	553	6		4				raw	4	554	raw	4	554	raw	4	556	raw	4	553
4979	ray	554	6		4				ray	4	555	ray	4	555	ray	4	557	ray	4	554
4980	razorbill	555	6		4				razorbill	4	556	razorbill	4	556	razorbill	4	558	razorbill	4	555
4981	reach	556	6		3				reach	3	557	reach	3	557	I	1	559	reach	3	556
4982	read	557	6		4				read	4	558	read	4	558	read	4	560	read	4	557
4983	readable	558	6		3				readable	3	559	readable	3	559	I	1	561	readable	3	558
4984	readjust	559	6		4				readjust	4	560	readjust	4	560	readjust	4	562	readjust	4	559
4985	reagency	560	6		3				reagency	3	561	reagency	3	561	I	1	563	reagency	3	560
4986	real	561	6		4				real	4	562	real	4	562	real	4	564	real	4	561
4987	realize	562	6		4				realize	4	563	realize	4	563	realize	4	565	realize	4	562
4988	reanimate	563	6		4				reanimate	4	564	reanimate	4	564	reanimate	4	566	reanimate	4	563
4989	rear	564	6		4				rear	4	565	rear	4	565	rear	4	567	rear	4	564
