page	entries	image	volume	frequency	check	books	accuracy	centurydiction02whit_djvu.csv	frequency	image	centurydictionar02whit_djvu.csv	frequency	image	centurydictionar02whituoft_djvu.csv	frequency	image	centurydictionary02whit_djvu.csv	frequency	image	cu31924091890594_djvu.csv	frequency	image
1116	columnar	248	2	4				columnar	4	248	columnar	4	248	colmnnar	1	250	columnar	4	252	columnar	4	247
1117	comatous	249	2	4				comatous	4	249	comatous	4	249	comatous	4	251	comatous	4	253	comatouB	1	248
1118	combatively	250	2	5				combatively	5	250	combatively	5	250	combatively	5	252	combatively	5	254	combatively	5	249
1119	comburgess	251	2	3				comburgess	3	251	comburgess	3	251	comburgess	3	253	similar	1	255	combiirgess	1	250
1120	come	252	2	5				come	5	252	come	5	252	come	5	254	come	5	256	come	5	251
1121	come	253	2	5				come	5	253	come	5	253	come	5	255	come	5	257	come	5	252
1122	comely	254	2	5				comely	5	254	comely	5	254	comely	5	256	comely	5	258	comely	5	253
1123	comfort	255	2	5				comfort	5	255	comfort	5	255	comfort	5	257	comfort	5	259	comfort	5	254
1124	coming	256	2	4				coming	4	256	coming	4	256	coming	4	258	coming	4	260	conung	1	255
1125	command	257	2	5				command	5	257	command	5	257	command	5	259	command	5	261	command	5	256
1126	commaterial	258	2	3				commaterial	3	258	commaterial	3	258	conunaterial	1	260	cotnmaterial	1	262	commaterial	3	257
1127	commend	259	2	5				commend	5	259	commend	5	259	commend	5	261	commend	5	263	commend	5	258
1128	commensurate	260	2	5				commensurate	5	260	commensurate	5	260	commensurate	5	262	commensurate	5	264	commensurate	5	259
1129	commercialism	261	2	5				commercialism	5	261	commercialism	5	261	commercialism	5	263	commercialism	5	265	commercialism	5	260
1130	commissary-court	262	2	3				commissary-court	3	262	commissary	1	262	commissary-conrt	1	264	commissary-court	3	266	commissary-court	3	261
1131	commission-merchant	263	2	3				conuuission-meTchant	1	263	commission-merchant	3	263	commission-mercliaiit	1	265	commission-merchant	3	267	commission-merchant	3	262
1132	committent	264	2	4				committent	4	264	committent	4	264	committent	4	266	conimittent	1	268	committent	4	263
1133	commolition	265	2	4				commolition	4	265	commolition	4	265	commolition	4	267	commolltlon	1	269	commolition	4	264
1134	common	266	2	4				common	4	266	common	4	266	To	1	268	common	4	270	common	4	265
1135	commonness	267	2	4				commonness	4	267	commonness	4	267	commonness	4	269	commonness	4	271	commoimess	1	266
1136	commos	268	2	3				conuuos	1	268	commos	3	268	conunos	1	270	commos	3	272	commos	3	267
1137	communicate	269	2	5				communicate	5	269	communicate	5	269	communicate	5	271	communicate	5	273	communicate	5	268
1138	communion-cup	270	2	4				communion-cup	4	270	communion-cup	4	270	commimion-cup	1	272	communion-cup	4	274	communion-cup	4	269
1139	commutator	271	2	5				commutator	5	271	commutator	5	271	commutator	5	273	commutator	5	275	commutator	5	270
1140	companion	272	2	5				companion	5	272	companion	5	272	companion	5	274	companion	5	276	companion	5	271
1141	comparative	273	2	5				comparative	5	273	comparative	5	273	comparative	5	275	comparative	5	277	comparative	5	272
1142	compartimento	274	2	3				compart	2	274	compart	2	274	compartimento	3	276	compartimento	3	278	compartimento	3	273
1143	compass	275	2	5				compass	5	275	compass	5	275	compass	5	277	compass	5	279	compass	5	274
1144	compear	276	2	5				compear	5	276	compear	5	276	compear	5	278	compear	5	280	compear	5	275
1145	compensation	277	2	5				compensation	5	277	compensation	5	277	compensation	5	279	compensation	5	281	compensation	5	276
1146	competitory	278	2	5				competitory	5	278	competitory	5	278	competitory	5	280	competitory	5	282	competitory	5	277
1147	complaining	279	2	3				complaining	3	279	complaining	3	279	had	2	281	had	2	283	complaining	3	278
1148	complete	280	2	5				complete	5	280	complete	5	280	complete	5	282	complete	5	284	complete	5	279
1149	complezional	281	2	3				complezional	3	281	complezional	3	281	complexional	2	283	complezional	3	285	complexional	2	280
1150	compliment	282	2	5				compliment	5	282	compliment	5	282	compliment	5	284	compliment	5	286	compliment	5	281
1151	componend	283	2	5				componend	5	283	componend	5	283	componend	5	285	componend	5	287	componend	5	282
1152	composing-stick	284	2	5				composing-stick	5	284	composing-stick	5	284	composing-stick	5	286	composing-stick	5	288	composing-stick	5	283
1153	composition	285	2	5				composition	5	285	composition	5	285	composition	5	287	composition	5	289	composition	5	284
1154	compound	286	2	4				compound	4	286	compouBd	1	286	compound	4	288	compound	4	290	compound	4	285
1155	comprehensible	287	2	5				comprehensible	5	287	comprehensible	5	287	comprehensible	5	289	comprehensible	5	291	comprehensible	5	286
1156	compressor	288	2	5				compressor	5	288	compressor	5	288	compressor	5	290	compressor	5	292	compressor	5	287
1157	Compsothlypis	289	2	5				Compsothlypis	5	289	Compsothlypis	5	289	Compsothlypis	5	291	Compsothlypis	5	293	Compsothlypis	5	288
1158	compurgatory	290	2	4				compurgatory	4	290	compurgatory	4	290	com	1	292	compurgatory	4	294	compurgatory	4	289
1159	conable	291	2	4				conable	4	291	hrio	1	291	conable	4	293	conable	4	295	conable	4	290
1160	conceal	292	2	5				conceal	5	292	conceal	5	292	conceal	5	294	conceal	5	296	conceal	5	291
1161	conceitedly	293	2	5				conceitedly	5	293	conceitedly	5	293	conceitedly	5	295	conceitedly	5	297	conceitedly	5	292
1162	concentrated	294	2	5				concentrated	5	294	concentrated	5	294	concentrated	5	296	concentrated	5	298	concentrated	5	293
1163	conceptional	295	2	5				conceptional	5	295	conceptional	5	295	conceptional	5	297	conceptional	5	299	conceptional	5	294
1164	concert	296	2	5				concert	5	296	concert	5	296	concert	5	298	concert	5	300	concert	5	295
1165	concha	297	2	5				concha	5	297	concha	5	297	concha	5	299	concha	5	301	concha	5	296
1166	conciergerie	298	2	3				conciergerie	3	298	conciergene	2	298	conciergerie	3	300	conciergene	2	302	conciergerie	3	297
1167	concitato	299	2	5				concitato	5	299	concitato	5	299	concitato	5	301	concitato	5	303	concitato	5	298
1168	conclusive	300	2	5				conclusive	5	300	conclusive	5	300	conclusive	5	302	conclusive	5	304	conclusive	5	299
1169	concord	301	2	5				concord	5	301	concord	5	301	concord	5	303	concord	5	305	concord	5	300
1170	concremation	302	2	5				concremation	5	302	concremation	5	302	concremation	5	304	concremation	5	306	concremation	5	301
1171	concubinage	303	2	5				concubinage	5	303	concubinage	5	303	concubinage	5	305	concubinage	5	307	concubinage	5	302
1172	concurrent	304	2	5				concurrent	5	304	concurrent	5	304	concurrent	5	306	concurrent	5	308	concurrent	5	303
1173	condemned	305	2	4				condemned	4	305	condemned	4	305	condemned	4	307	condemned	4	309	condenmed	1	304
1174	condescendency	306	2	5				condescendency	5	306	condescendency	5	306	condescendency	5	308	condescendency	5	310	condescendency	5	305
1175	condition	307	2	5				condition	5	307	condition	5	307	condition	5	309	condition	5	311	condition	5	306
1176	condole	308	2	5				condole	5	308	condole	5	308	condole	5	310	condole	5	312	condole	5	307
1177	conduct	309	2	4				conduct	4	309	conduct	4	309	condnct	1	311	conduct	4	313	conduct	4	308
1178	conductus	310	2	2	tie			conductus	2	310	conduct	2	310	conductos	1	312	conduct	2	314	conductus	2	309
1179	cone	311	2	5				cone	5	311	cone	5	311	cone	5	313	cone	5	315	cone	5	310
1180	confect	312	2	4				confect	4	312	A	1	312	confect	4	314	confect	4	316	confect	4	311
1181	confederate	313	2	5				confederate	5	313	confederate	5	313	confederate	5	315	confederate	5	317	confederate	5	312
1182	confess	314	2	5				confess	5	314	confess	5	314	confess	5	316	confess	5	318	confess	5	313
1183	confessionary	315	2	4				confessionary	4	315	confessionary	4	315	confessionary	4	317	confessionary	4	319	confesBionary	1	314
1184	confidentiality	316	2	5				confidentiality	5	316	confidentiality	5	316	confidentiality	5	318	confidentiality	5	320	confidentiality	5	315
1185	confirmable	317	2	3				conflrmable	2	317	confirmable	3	317	confirmable	3	319	conflrmable	2	321	confirmable	3	316
1186	conflagrate	318	2	5				conflagrate	5	318	conflagrate	5	318	conflagrate	5	320	conflagrate	5	322	conflagrate	5	317
1187	conform	319	2	5				conform	5	319	conform	5	319	conform	5	321	conform	5	323	conform	5	318
1188	confounded	320	2	4				confounded	4	320	confounded	4	320	confonnded	1	322	confounded	4	324	confounded	4	319
1189	confused	321	2	5				confused	5	321	confused	5	321	confused	5	323	confused	5	325	confused	5	320
1190	congee	322	2	5				congee	5	322	congee	5	322	congee	5	324	congee	5	328	congee	5	321
1191	congeriate	323	2	3				congeriate	3	323	congeriate	3	323	congerlate	2	325	congerlate	2	329	congeriate	3	322
1192	conglutinate	324	2	3				conglutinate	3	324	conglutinate	3	324	conglatinate	1	326	conglutinate	3	330	conglutlnate	1	323
1193	congregation	325	2	5				congregation	5	325	congregation	5	325	congregation	5	327	congregation	5	331	congregation	5	324
1194	Congrogadus	326	2	4				Congrogadus	4	326	CongTOgadus	1	326	Congrogadus	4	328	Congrogadus	4	332	Congrogadus	4	325
1195	conicity	327	2	5				conicity	5	327	conicity	5	327	conicity	5	329	conicity	5	333	conicity	5	326
1196	conjecture	328	2	5				conjecture	5	328	conjecture	5	328	conjecture	5	330	conjecture	5	334	conjecture	5	327
1197	conjugate	329	2	4				conjugate	4	329	conjugate	4	329	conjugate	4	331	conjQgate	1	335	conjugate	4	328
1198	conjuncture	330	2	4				conjuncture	4	330	conjuncture	4	330	conjuncture	4	332	conjuncture	4	336	coDjuncture	1	329
1199	connaturality	331	2	5				connaturality	5	331	connaturality	5	331	connaturality	5	333	connaturality	5	337	connaturality	5	330
1200	connive	332	2	4				connive	4	332	if	1	332	connive	4	334	connive	4	338	connive	4	331
1201	Conocephalus	333	2	3				Oonocephalus	1	333	Conocephalus	3	333	Conocephalus	3	335	Conocephalas	1	339	Conocephalus	3	332
1202	conquer	334	2	4				conquer	4	334	conqtier	1	334	conquer	4	336	conquer	4	340	conquer	4	333
1203	conscience	335	2	5				conscience	5	335	conscience	5	335	conscience	5	337	conscience	5	341	conscience	5	334
1204	consciovuHiess	336	2	1	tie			consciovuHiess	1	336	conscionsness	1	336	consdonsness	1	338	conscicmsness	1	342	consciousness	1	335
1205	consecutive	337	2	5				consecutive	5	337	consecutive	5	337	consecutive	5	339	consecutive	5	343	consecutive	5	336
1206	consequence	338	2	5				consequence	5	338	consequence	5	338	consequence	5	340	consequence	5	344	consequence	5	337
1207	conservative	339	2	5				conservative	5	339	conservative	5	339	conservative	5	341	conservative	5	345	conservative	5	338
1208	considerable	340	2	5				considerable	5	340	considerable	5	340	considerable	5	342	considerable	5	346	considerable	5	339
1209	consignation	341	2	5				consignation	5	341	consignation	5	341	consignation	5	343	consignation	5	347	consignation	5	340
1210	consistorial	342	2	5				consistorial	5	342	consistorial	5	342	consistorial	5	344	consistorial	5	348	consistorial	5	341
1211	console-table	343	2	5				console-table	5	343	console-table	5	343	console-table	5	345	console-table	5	349	console-table	5	342
1212	consonantic	344	2	5				consonantic	5	344	consonantic	5	344	consonantic	5	346	consonantic	5	350	consonantic	5	343
1213	conspicuity	345	2	5				conspicuity	5	345	conspicuity	5	345	conspicuity	5	347	conspicuity	5	351	conspicuity	5	344
1214	constablewick	346	2	5				constablewick	5	346	constablewick	5	346	constablewick	5	348	constablewick	5	352	constablewick	5	345
1215	constellation	347	2	5				constellation	5	347	constellation	5	347	constellation	5	349	constellation	5	353	constellation	5	346
1216	constitution	348	2	5				constitution	5	348	constitution	5	348	constitution	5	350	constitution	5	354	constitution	5	347
1217	constitutive	349	2	5				constitutive	5	349	constitutive	5	349	constitutive	5	351	constitutive	5	355	constitutive	5	348
1218	construction	350	2	4				construction	4	350	construction	4	350	construction	4	352	constniction	1	356	construction	4	349
1219	consubstantiation	351	2	2	weak			consubstantiation	2	351	consubstantiation	2	351	consubstantlation	1	353	consubstantiatlon	1	357	consubstantlatlon	1	350
1220	consulter	352	2	4				consulter	4	352	consulter	4	352	consolter	1	354	consulter	4	358	consulter	4	351
1221	consumptive	353	2	5				consumptive	5	353	consumptive	5	353	consumptive	5	355	consumptive	5	359	consumptive	5	352
1222	contain	354	2	5				contain	5	354	contain	5	354	contain	5	356	contain	5	360	contain	5	353
1223	contemplate	355	2	5				contemplate	5	355	contemplate	5	355	contemplate	5	357	contemplate	5	361	contemplate	5	354
1224	contempt	356	2	5				contempt	5	356	contempt	5	356	contempt	5	358	contempt	5	362	contempt	5	355
1225	content	357	2	5				content	5	357	content	5	357	content	5	359	content	5	363	content	5	356
1226	conterminant	358	2	5				conterminant	5	358	conterminant	5	358	conterminant	5	360	conterminant	5	364	conterminant	5	357
1227	contexture	359	2	5				contexture	5	359	contexture	5	359	contexture	5	361	contexture	5	365	contexture	5	358
1228	contmge	360	2	3				continge	2	360	contmge	3	360	contmge	3	362	continge	2	366	contmge	3	359
1229	continuation	361	2	5				continuation	5	361	continuation	5	361	continuation	5	363	continuation	5	367	continuation	5	360
1230	continuous	362	2	4				continuous	4	362	continuous	4	362	continnons	1	364	continuous	4	368	continuous	4	361
1231	contraband	363	2	5				contraband	5	363	contraband	5	363	contraband	5	365	contraband	5	369	contraband	5	362
1232	contract	364	2	5				contract	5	364	contract	5	364	contract	5	366	contract	5	370	contract	5	363
1233	contracture	365	2	5				contracture	5	365	contracture	5	365	contracture	5	367	contracture	5	371	contracture	5	364
1234	contragredient	366	2	5				contragredient	5	366	contragredient	5	366	contragredient	5	368	contragredient	5	372	contragredient	5	365
1235	contrarious	367	2	5				contrarious	5	367	contrarious	5	367	contrarious	5	369	contrarious	5	373	contrarious	5	366
1236	contravene	368	2	5				contravene	5	368	contravene	5	368	contravene	5	370	contravene	5	374	contravene	5	367
1237	contristate	369	2	5				contristate	5	369	contristate	5	369	contristate	5	371	contristate	5	375	contristate	5	368
1238	controller	370	2	5				controller	5	370	controller	5	370	controller	5	372	controller	5	376	controller	5	369
1239	contumelious	371	2	5				contumelious	5	371	contumelious	5	371	contumelious	5	373	contumelious	5	377	contumelious	5	370
1240	convection	372	2	5				convection	5	372	convection	5	372	convection	5	374	convection	5	378	convection	5	371
1241	conventicle	373	2	5				conventicle	5	373	conventicle	5	373	conventicle	5	375	conventicle	5	379	conventicle	5	372
1242	conventual	374	2	5				conventual	5	374	conventual	5	374	conventual	5	376	conventual	5	380	conventual	5	373
1243	converse	375	2	5				converse	5	375	converse	5	375	converse	5	377	converse	5	381	converse	5	374
1244	convert	376	2	5				convert	5	376	convert	5	376	convert	5	378	convert	5	382	convert	5	375
1245	convey	377	2	5				convey	5	377	convey	5	377	convey	5	379	convey	5	383	convey	5	376
1246	conviction	378	2	4				conviction	4	378	conviction	4	378	conviction	4	380	conviction	4	384	convtctlon	1	377
1247	Convoluta	379	2	2	tie			Convoluta	2	379	Convoluta	2	379	Convolute	2	381	Co-	1	385	Convolute	2	378
1248	convulsionary	380	2	4				convTilsionary	1	380	convulsionary	4	380	convulsionary	4	382	convulsionary	4	386	convulsionary	4	379
1249	cook	381	2	5				cook	5	381	cook	5	381	cook	5	383	cook	5	387	cook	5	380
1250	coolness	382	2	5				coolness	5	382	coolness	5	382	coolness	5	384	coolness	5	388	coolness	5	381
1251	coopt	383	2	4				coopt	4	383	coopt	4	383	codpt	1	385	coopt	4	389	coopt	4	382
1252	coot	384	2	5				coot	5	384	coot	5	384	coot	5	386	coot	5	390	coot	5	383
1253	cope	385	2	5				cope	5	385	cope	5	385	cope	5	387	cope	5	391	cope	5	384
1254	coperon	386	2	4				coperon	4	386	coperon	4	386	coperon	4	388	coperoii	1	392	coperon	4	385
1255	copper	387	2	4				copper	4	387	copper	4	387	per-eolored	1	389	copper	4	393	copper	4	386
1256	Coppinia	388	2	5				Coppinia	5	388	Coppinia	5	388	Coppinia	5	390	Coppinia	5	394	Coppinia	5	387
1257	Coptocycla	389	2	5				Coptocycla	5	389	Coptocycla	5	389	Coptocycla	5	391	Coptocycla	5	395	Coptocycla	5	388
1258	copyhold	390	2	5				copyhold	5	390	copyhold	5	390	copyhold	5	392	copyhold	5	396	copyhold	5	389
1259	coracias	391	2	4				coracias	4	391	coracias	4	391	coracias	4	393	Common	1	397	coracias	4	390
1260	coral	392	2	5				coral	5	392	coral	5	392	coral	5	394	coral	5	398	coral	5	391
1261	Coralliophila	393	2	2	weak			Ooralllophila	1	393	Ooralliophila	1	393	Coralliophila	2	395	Coralliophila	2	399	OoralliopMla	1	392
1262	Castle	394	2	4				Castle	4	394	Castle	4	394	Castle	4	396	corbel	1	400	Castle	4	393
1263	cordage	395	2	4				cordage	4	395	cordage	4	395	cordage	4	397	cordage	4	401	Cordate	1	394
1264	-Old	396	2	2	weak			Old	1	396	cordite	1	396	uKi	1	398	-Old	2	402	-Old	2	395
1265	core	397	2	4				core	4	397	core	4	397	core	4	399	core	4	403	with	1	396
1266	coreplastic	398	2	5				coreplastic	5	398	coreplastic	5	398	coreplastic	5	400	coreplastic	5	404	coreplastic	5	397
1267	Corinthian	399	2	3				Corinthian	3	399	Corinthian	3	399	Oorinthian	1	401	Oorlnthian	1	405	Corinthian	3	398
1268	corm	400	2	5				corm	5	400	corm	5	400	corm	5	402	corm	5	406	corm	5	399
1269	corn-ball	401	2	5				corn-ball	5	401	corn-ball	5	401	corn-ball	5	403	corn-ball	5	407	corn-ball	5	400
1270	cornered	402	2	4				cornered	4	402	cornered	4	402	Cornered	1	404	cornered	4	408	cornered	4	401
1271	cornice-plane	403	2	3				cornice-plane	3	403	comice-plane	1	403	comlce-plane	1	405	cornice-plane	3	409	cornice-plane	3	402
1272	corn-salad	404	2	5				corn-salad	5	404	corn-salad	5	404	corn-salad	5	406	corn-salad	5	410	corn-salad	5	403
1273	corolla	405	2	5				corolla	5	405	corolla	5	405	corolla	5	407	corolla	5	411	corolla	5	404
1274	coronary	406	2	4				coronary	4	406	coronary	4	406	coronary	4	408	n	1	412	coronary	4	405
1275	Coronulidae	407	2	2	weak			Coronulidse	1	407	Coronulidae	2	407	Coronulidae	2	409	Ooronulids	1	413	Coronulids	1	406
1276	corporative	408	2	5				corporative	5	408	corporative	5	408	corporative	5	410	corporative	5	414	corporative	5	407
1277	corpse-sheet	409	2	5				corpse-sheet	5	409	corpse-sheet	5	409	corpse-sheet	5	411	corpse-sheet	5	415	corpse-sheet	5	408
1278	corradial	410	2	4				corradial	4	410	rnlfridfip	1	410	corradial	4	412	corradial	4	416	corradial	4	409
1279	corrective	411	2	5				corrective	5	411	corrective	5	411	corrective	5	413	corrective	5	417	corrective	5	410
1280	correspond	412	2	5				correspond	5	412	correspond	5	412	correspond	5	414	correspond	5	418	correspond	5	411
1281	corrivate	413	2	4				corrivate	4	413	corrivate	4	413	corrivato	1	415	corrivate	4	419	corrivate	4	412
1282	corroval	414	2	4				corroval	4	414		1	414	corroval	4	416	corroval	4	420	corroval	4	413
1283	corruptionist	415	2	4				corruptionist	4	415	corruptionist	4	415	corraptionist	1	417	corruptionist	4	421	corruptionist	4	414
1284	corsive	416	2	4				corslve	1	416	corsive	4	416	corsive	4	418	corsive	4	422	corsive	4	415
1285	coruscation	417	2	5				coruscation	5	417	coruscation	5	417	coruscation	5	419	coruscation	5	423	coruscation	5	416
1286	Corylus	418	2	3				Corymb	2	418	Corylus	3	418	Corylus	3	420	Corylus	3	424	Corymb	2	417
1287	Oorystidse	419	2	1	tie			Oorystidse	1	419	Corystidae	1	419	Oorystidae	1	421	Dominican	1	425	Corystes	1	418
1288	cosmetic	420	2	5				cosmetic	5	420	cosmetic	5	420	cosmetic	5	422	cosmetic	5	426	cosmetic	5	419
1289	cosmology	421	2	5				cosmology	5	421	cosmology	5	421	cosmology	5	423	cosmology	5	427	cosmology	5	420
1290	Cossus	422	2	2	weak			Oossus	1	422	Cossus	2	422	Oossns	1	424	COBBUS	1	428	Cossus	2	421
1291	cost-book	423	2	5				cost-book	5	423	cost-book	5	423	cost-book	5	425	cost-book	5	429	cost-book	5	422
1292	costoxiphoid	424	2	3				costoziphoid	2	424	costoziphoid	2	424	costoxiphoid	3	426	costoxiphoid	3	430	costoxiphoid	3	423
1293	cotelaine	425	2	3				cotelaine	3	425	cotelaine	3	425	cotelaine	3	427	cdtelaine	2	431	cdtelaine	2	424
1294	cotset	426	2	5				cotset	5	426	cotset	5	426	cotset	5	428	cotset	5	432	cotset	5	425
1295	cotton	427	2	5				cotton	5	427	cotton	5	427	cotton	5	429	cotton	5	433	cotton	5	426
1296	cotton-waste	428	2	5				cotton-waste	5	428	cotton-waste	5	428	cotton-waste	5	430	cotton-waste	5	434	cotton-waste	5	427
1297	cotylophorous	429	2	4				cotylophorous	4	429	cotylophorous	4	429	cotylophorons	1	431	cotylophorous	4	435	cotylophorous	4	428
1298	couching	430	2	4				couching	4	430	coucliiiig	1	430	couching	4	432	couching	4	436	couching	4	429
1299	council	431	2	5				council	5	431	council	5	431	council	5	433	council	5	437	council	5	430
1300	counsel	432	2	4				coimsel	1	432	counsel	4	432	counsel	4	434	counsel	4	438	counsel	4	431
1301	count	433	2	5				count	5	433	count	5	433	count	5	435	count	5	439	count	5	432
1302	Frame	434	2	4				Frame	4	434	Frame	4	434	Frame	4	436	Frame	4	440	counter	1	433
1303	a	435	2	4				a	4	435	a	4	435	a	4	437	a	4	441	counter-clockwise	1	434
1304	counterfort	436	2	4				counterfort	4	436	To	1	436	counterfort	4	438	counterfort	4	442	counterfort	4	435
1305	counterpane	437	2	4				counterpane	4	437	counterpane	4	437	counterpane	4	439	counterpane	4	443	coTmterpane	1	436
1306	counter-raguled	438	2	3				counter-ragnled	1	438	counter-raguled	3	438	connter-ragnled	1	440	counter-raguled	3	444	counter-raguled	3	437
1307	counter-trippant	439	2	4				counter-trlppant	1	439	counter-trippant	4	439	counter-trippant	4	441	counter-trippant	4	445	counter-trippant	4	438
1308	country-dance	440	2	5				country-dance	5	440	country-dance	5	440	country-dance	5	442	country-dance	5	446	country-dance	5	439
1309	A	441	2	4				A	4	441	A	4	441	A	4	443	A	4	447	coupe	1	440
1310	coupling	442	2	3				Disk	2	442	coupling	3	442	coupling	3	444	Disk	2	448	coupling	3	441
1311	courant	443	2	5				courant	5	443	courant	5	443	courant	5	445	courant	5	449	courant	5	442
1312	course	444	2	4				course	4	444	coTirse	1	444	course	4	446	course	4	450	course	4	443
1313	court	445	2	5				court	5	445	court	5	445	court	5	447	court	5	451	court	5	444
1314	courter	446	2	4				courter	4	446	courter	4	446	courter	4	448	conrter	1	452	courter	4	445
1315	court-rolls	447	2	5				court-rolls	5	447	court-rolls	5	447	court-rolls	5	449	court-rolls	5	453	court-rolls	5	446
1316	couvre-nuque	448	2	4				couvre-nuque	4	448	couvre-nuque	4	448	couvre-nuqne	1	450	couvre-nuque	4	454	couvre-nuque	4	447
1317	covenant	449	2	5				covenant	5	449	covenant	5	449	covenant	5	451	covenant	5	455	covenant	5	448
1318	cover	450	2	5				cover	5	450	cover	5	450	cover	5	452	cover	5	456	cover	5	449
1319	coverture	451	2	5				coverture	5	451	coverture	5	451	coverture	5	453	coverture	5	457	coverture	5	450
1320	coward	452	2	5				coward	5	452	coward	5	452	coward	5	454	coward	5	458	coward	5	451
1321	cowheard	453	2	5				cowheard	5	453	cowheard	5	453	cowheard	5	455	cowheard	5	459	cowheard	5	452
1322	cowslipped	454	2	3				cowslipped	3	454	cowslipped	3	454	of	1	456	cowslipped	3	460	cowsUpped	1	453
1323	coy	455	2	5				coy	5	455	coy	5	455	coy	5	457	coy	5	461	coy	5	454
1324	crab	456	2	4				crab	4	456	crab	4	456	crab	4	458	crab	4	462	as	1	455
1325	Cracidx	457	2	1	tie			Cracidx	1	457	Cracidae	1	457	CracidsB	1	459	Oracidffi	1	463	Cracidse	1	456
1326	cracker	458	2	5				cracker	5	458	cracker	5	458	cracker	5	460	cracker	5	464	cracker	5	457
1327	cradle	459	2	5				cradle	5	459	cradle	5	459	cradle	5	461	cradle	5	465	cradle	5	458
1328	craggy	460	2	5				craggy	5	460	craggy	5	460	craggy	5	462	craggy	5	466	craggy	5	459
1329	crammer	461	2	5				crammer	5	461	crammer	5	461	crammer	5	463	crammer	5	467	crammer	5	460
1330	To	462	2	2	weak			Oranchiidae	1	462	To	2	462	Cranchiidse	1	464	To	2	470	Cranchiids	1	461
1331	Craniidse	463	2	1	tie			Craniidse	1	463	Craniidae	1	463	Cranlldse	1	465	Granllda	1	471	Cranildse	1	462
1332	cranloscopy	464	2	3				cranioscopy	2	464	cranioscopy	2	464	cranloscopy	3	466	cranloscopy	3	472	cranloscopy	3	463
1333	crank	465	2	4				crank	4	465	crank	4	465	Cranked	1	467	crank	4	473	crank	4	464
1334	crape-clotb	466	2	2	tie			crape-clotb	2	466	crape-cloth	2	466	crape-cloth	2	468	crape-clotli	1	474	crape-clotb	2	465
1335	Crassipedia	467	2	4				Crassipedia	4	467	Crassipedia	4	467	Crassipedia	4	469	Crassipedia	4	475	Crassipedla	1	466
1336	cravat	468	2	5				cravat	5	468	cravat	5	468	cravat	5	470	cravat	5	476	cravat	5	467
1337	crayon	469	2	5				crayon	5	469	crayon	5	469	crayon	5	471	crayon	5	477	crayon	5	468
1338	cream	470	2	5				cream	5	470	cream	5	470	cream	5	472	cream	5	478	cream	5	469
1339	creat	471	2	4				creat	4	471	creat	4	471	Croat	1	473	creat	4	479	creat	4	470
1340	creaturely	472	2	4				creaturely	4	472	or	1	472	creaturely	4	474	creaturely	4	480	creaturely	4	471
1341	credit	473	2	5				credit	5	473	credit	5	473	credit	5	475	credit	5	481	credit	5	472
1342	credulity	474	2	5				credulity	5	474	credulity	5	474	credulity	5	476	credulity	5	482	credulity	5	473
1343	creeper	475	2	5				creeper	5	475	creeper	5	475	creeper	5	477	creeper	5	483	creeper	5	474
1344	cremor	476	2	2	tie			Crenale	1	476	Crenate	2	476	cremor	2	478	Crenate	2	484	cremor	2	475
1345	creosote	477	2	5				creosote	5	477	creosote	5	477	creosote	5	479	creosote	5	485	creosote	5	476
1346	Heraldic	478	2	4				Heraldic	4	478	Heraldic	4	478	Heraldic	4	480	Cres-	1	486	Heraldic	4	477
1347	crest	479	2	2	tie			crest	2	479	crest	2	479	A	2	481	ft	1	487	A	2	478
1348	crevassed	480	2	3				crevassed	3	480	crevassed	3	480	Now	1	482	crerassed	1	488	crevassed	3	479
1349	cribble	481	2	5				cribble	5	481	cribble	5	481	cribble	5	483	cribble	5	489	cribble	5	480
1350	cricket-bird	482	2	5				cricket-bird	5	482	cricket-bird	5	482	cricket-bird	5	484	cricket-bird	5	490	cricket-bird	5	481
1351	criminal	483	2	4				criminal	4	483	crimiBal	1	483	criminal	4	485	criminal	4	491	criminal	4	482
1352	crinal	484	2	5				crinal	5	484	crinal	5	484	crinal	5	486	crinal	5	492	crinal	5	483
1353	crinoline	485	2	4				crinoline	4	485	crinoline	4	485	crlnoUne	1	487	crinoline	4	493	crinoline	4	484
1354	crisp	486	2	3				crisp	3	486	cnsp	2	486	crisp	3	488	crisp	3	494	cnsp	2	485
1355	critic	487	2	4				critic	4	487	and	1	487	critic	4	489	critic	4	495	critic	4	486
1356	croak	488	2	5				croak	5	488	croak	5	488	croak	5	490	croak	5	496	croak	5	487
1357	crocket	489	2	5				crocket	5	489	crocket	5	489	crocket	5	491	crocket	5	497	crocket	5	488
1358	croft	490	2	4				croft	4	490	croft	4	490	croft	4	492	crofk	1	498	croft	4	489
1359	crook	491	2	5				crook	5	491	crook	5	491	crook	5	493	crook	5	499	crook	5	490
1360	crop	492	2	5				crop	5	492	crop	5	492	crop	5	494	crop	5	500	crop	5	491
1361	croquette	493	2	3				croquette	3	493	croquette	3	493	k	1	495	croquette	3	501	crooLuette	1	492
1362	cross	494	2	5				cross	5	494	cross	5	494	cross	5	496	cross	5	502	cross	5	493
1363	cross	495	2	5				cross	5	495	cross	5	495	cross	5	497	cross	5	503	cross	5	494
1364	cross-cut	496	2	4				cross-cut	4	496	cross-cut	4	496	is	1	498	cross-cut	4	504	cross-cut	4	495
